index,name,baseHp,baseAtk,baseDef,critRate,critDmg,healingBonus,maxEnergy,elementDmgType,elementDmg,ascensionBonus,breakthrough,url
1,秧秧·玄翎,11025,425,1148,5%（13%）,150%,0%,125,湮灭,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1519669180526559232?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
2,漂泊者-女-导电,10775,438,1137,5%（13%）,150%,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1524702668029300736?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
3,漂泊者-男-导电,10775,438,1137,5%（13%）,150%,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1524702371185848320?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
4,陆·赫斯,10300,462,1112,5%（13%）,150%,0%,125,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1457750329618771968?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
5,琳奈,12237,375,1197,5%（13%）,150%,0%,125,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1445377391854534656?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
7,洛瑟菈,12238,375,1198,5%（13%）,150%,0%,0,冷凝,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1514097978770092032?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
8,露西,11025,425,1149,5%（13%）,150%,0%,125,衍射,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1502669582481317888?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
9,丽贝卡,11600,400,1173,5%（13%）,150%,0%,125,导电,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1502681773647212544?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
10,达妮娅,11025,425,1148,5%,150%（166%）,0%,125,热熔,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1488852222116831232?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
11,绯雪,10300,462,1112,5%（13%）,150%,0%,125,冷凝,0%,0%（12%）,,https://wiki.kurobbs.com/mc/item/1488853937364017152?wkFrom=catalog&wkFromLabel=%E3%80%90%E7%9B%AE%E5%BD%95%E9%A1%B5%E3%80%91%EF%BC%9A%E5%85%B1%E9%B8%A3%E8%80%85
