status,character,skillType,rowType,officialLabel,baseLabel,baseLv10,officialLv10,multiplierCount,compositeOfficialLabel
empty_base_character,秧秧·玄翎,,,,,,,,
empty_base_character,漂泊者·导电,,,,,,,,
same,陆·赫斯,常态攻击,damage,普攻第一段伤害,普攻第一段伤害,40.56%+40.56%,40.56%+40.56%,20,
same,陆·赫斯,常态攻击,damage,普攻第二段伤害,普攻第二段伤害,60.16%+90.24%,60.16%+90.24%,20,
same,陆·赫斯,常态攻击,damage,普攻第三段伤害,普攻第三段伤害,5.02%*30,5.02%*30,20,
same,陆·赫斯,常态攻击,damage,普攻第四段伤害,普攻第四段伤害,96.33%,96.33%,20,
same,陆·赫斯,常态攻击,damage,重击伤害,重击伤害,91.26%,91.26%,20,
same,陆·赫斯,常态攻击,damage,空中攻击第一段伤害,空中攻击第一段伤害,57.46%,57.46%,20,
same,陆·赫斯,常态攻击,damage,空中攻击第二段·镰刀·剖解伤害,空中攻击第二段·镰刀·剖解伤害,28.23%+28.23%+37.63%,28.23%+28.23%+37.63%,20,
same,陆·赫斯,常态攻击,damage,空中攻击第三段·镰刀·剖解伤害,空中攻击第三段·镰刀·剖解伤害,42.93%+42.93%+57.24%,42.93%+42.93%+57.24%,20,
same,陆·赫斯,常态攻击,damage,空中攻击第二段·镰刀·裁断伤害,空中攻击第二段·镰刀·裁断伤害,50.42%+50.42%,50.42%+50.42%,20,
same,陆·赫斯,常态攻击,damage,空中攻击第三段·镰刀·裁断伤害,空中攻击第三段·镰刀·裁断伤害,74.92%+74.92%,74.92%+74.92%,20,
same,陆·赫斯,常态攻击,damage,空中攻击第四段伤害,空中攻击第四段伤害,104.78%,104.78%,20,
same,陆·赫斯,常态攻击,damage,地面闪避反击伤害,地面闪避反击伤害,125.90%+125.90%,125.90%+125.90%,20,
same,陆·赫斯,常态攻击,damage,空中闪避反击伤害,空中闪避反击伤害,256.87%,256.87%,20,
same,陆·赫斯,共鸣技能,damage,流金回潮伤害,流金回潮伤害,201.20%,201.20%,20,
