character,skillType,skillTitle,type,label,lv10
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·苍剑式第一段伤害,47.72%
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·苍剑式第二段伤害,20.14%+20.14%+60.41%
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·苍剑式第三段伤害,30.21%+70.48%
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·苍剑式第四段伤害,18.57%+18.57%+148.49%
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·羽剑式第一段伤害,39.77%+39.77%
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·羽剑式第二段伤害,33.56%*3
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·羽剑式第三段伤害,14.86%+7.43%*3+37.14%
秧秧·玄翎,常态攻击,济善伐恶,damage,普攻·羽剑式第四段伤害,71.58%+71.58%+95.43%
秧秧·玄翎,常态攻击,济善伐恶,damage,空中攻击·苍剑式伤害,98.61%
秧秧·玄翎,常态攻击,济善伐恶,damage,空中攻击·羽剑式伤害,98.61%
秧秧·玄翎,常态攻击,济善伐恶,damage,闪避反击·苍剑式伤害,39.23%+39.23%+117.67%
秧秧·玄翎,常态攻击,济善伐恶,damage,闪避反击·羽剑式伤害,65.37%*3
秧秧·玄翎,共鸣技能,羽拭苍锋,damage,剑式切换·苍伤害,69.95%+15.55%*3
秧秧·玄翎,共鸣技能,羽拭苍锋,damage,剑式切换·羽伤害,33.56%*3
秧秧·玄翎,共鸣回路,万声浮道,damage,共鸣技能·剑式流转·苍伤害,69.95%+15.55%*3
秧秧·玄翎,共鸣回路,万声浮道,damage,共鸣技能·剑式流转·羽伤害,33.56%*3
秧秧·玄翎,共鸣回路,万声浮道,damage,重击·苍剑式伤害,135.16%+135.16%+180.21%
秧秧·玄翎,共鸣回路,万声浮道,damage,重击·羽剑式伤害,21.71%+195.34%
秧秧·玄翎,共鸣回路,万声浮道,damage,空中攻击·释羽风落伤害,14.80%*3+66.57%
秧秧·玄翎,共鸣回路,万声浮道,damage,普攻·湮象风华第一段伤害,39.79%*3
秧秧·玄翎,共鸣回路,万声浮道,damage,普攻·湮象风华第二段伤害,89.25%+66.94%+66.94%
秧秧·玄翎,共鸣回路,万声浮道,damage,普攻·湮象风华第三段伤害,23.98%*5+279.69%
秧秧·玄翎,共鸣回路,万声浮道,damage,闪避反击·湮象风华第一段伤害,39.79%*3
秧秧·玄翎,共鸣回路,万声浮道,damage,闪避反击·湮象风华第二段伤害,89.25%+66.94%+66.94%
秧秧·玄翎,共鸣回路,万声浮道,damage,闪避反击·湮象风华第三段伤害,23.98%*5+279.69%
秧秧·玄翎,共鸣回路,万声浮道,damage,声之幻身伤害,523
秧秧·玄翎,共鸣解放,裁羽寂万音,damage,裁羽寂万音伤害,1988.10%
